Tiempo(seg),Temperatura 1,Temperatura 2,Temperatura 3,Temperatura 4,Temperatura 5,Temperatura 6,Temperatura 7,Temperatura 8,Temperatura 9,Temperatura 10
 50.5, 849.050709926342, 849.049754268175, 848.993296832688, 848.865014914364, 848.636123284683, 848.269793347769, 847.719563728633, 846.929188242944, 845.835773732067, 844.377032467626
 51, 849.027184849867, 849.026220645323, 848.969258862759, 848.839884125303, 848.609220798088, 848.240471034413, 847.687381608432, 846.894114357346, 845.798339935433, 844.338349612499
 51.5, 849.003454866178, 849.002482263256, 848.945024869737, 848.814576454672, 848.582173130731, 848.211048225713, 847.655153938954, 846.859052972185, 845.760968174166, 844.299756501046
 52, 848.979523544239, 848.978542689218, 848.920598319088, 848.789095131323, 848.554983077153, 848.181527017712, 847.622881829195, 846.824004013126, 845.723657257921, 844.261251276307
 52.5, 848.955394410174, 848.954405447577, 848.895982631411, 848.7634433359, 848.527653381381, 848.151909459304, 847.590566355096, 846.788967398769, 845.686406020011, 844.222832125629
 53, 848.93107094655, 848.930074019114, 848.871181181986, 848.737624200903, 848.50018673766, 848.122197553511, 847.558208560869, 846.753943041304, 845.649213316926, 844.184497279318
 53.5, 848.906556591758, 848.90555184041, 848.846197300405, 848.711640810811, 848.472585791197, 848.092393258717, 847.525809460247, 846.718930847123, 845.61207802786, 844.146245009336
 54, 848.881854739492, 848.880842303327, 848.821034270295, 848.685496202245, 848.444853138892, 848.062498489856, 847.493370037682, 846.683930717386, 845.574999054255, 844.108073628056
 54.5, 848.856968738316, 848.855948754578, 848.795695329092, 848.65919336417, 848.416991330083, 848.032515119558, 847.46089124948, 846.648942548557, 845.537975319343, 844.069981487073
 55, 848.831901891316, 848.830874495387, 848.770183667905, 848.632735238148, 848.389002867279, 848.002444979262, 847.428374024877, 846.613966232893, 845.50100576771, 844.031966976053
 55.5, 848.806657455827, 848.805622781213, 848.744502431431, 848.606124718612, 848.360890206894, 847.972289860289, 847.395819267069, 846.579001658904, 845.464089364857, 843.994028521637
 56, 848.781238643234, 848.780196821557, 848.718654717932, 848.579364653182, 848.332655759984, 847.942051514873, 847.36322785419, 846.544048711781, 845.427225096781, 843.956164586383
 56.5, 848.755648618839, 848.754599779833, 848.692643579266, 848.552457843008, 848.304301892966, 847.91173165717, 847.330600640239, 846.509107273792, 845.390411969555, 843.91837366775
 57, 848.729890501788, 848.728834773296, 848.666472020965, 848.525407043136, 848.275830928351, 847.88133196422, 847.297938455971, 846.474177224648, 845.353649008924, 843.880654297122
 57.5, 848.703967365062, 848.702904873033, 848.64014300237, 848.498214962908, 848.247245145456, 847.850854076888, 847.265242109738, 846.439258441853, 845.316935259906, 843.843005038866
 58, 848.677882235511, 848.676813104004, 848.613659436792, 848.470884266371, 848.21854678112, 847.82029960077, 847.232512388295, 846.404350801014, 845.280269786405, 843.805424489431
 58.5, 848.651638093946, 848.650562445134, 848.587024191728, 848.44341757272, 848.189738030413, 847.789670107071, 847.19975005757, 846.369454176139, 845.243651670822, 843.767911276476
